,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score,Louvain results path,n
475,3,0.17194570135746606,0.4418604651162791,0.24755700325732902,8,0.1881918819188192,0.29651162790697677,0.23024830699774268,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3306/2021_2_5_22_12_31\Louvain_2,8
476,2,0.9166666666666666,0.7586206896551724,0.830188679245283,3,0.5833333333333334,0.2413793103448276,0.34146341463414637,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3647/2021_2_5_22_12_32\Louvain_2,2
477,4,0.2635135135135135,0.2988505747126437,0.2800718132854578,9,0.2804232804232804,0.20306513409961685,0.23555555555555555,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3540/2021_2_5_22_12_49\Louvain_2,5
478,4,0.2033898305084746,0.4311377245508982,0.27639155470249527,9,0.12184873949579832,0.17365269461077845,0.14320987654320988,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3514/2021_2_5_22_13_5\Louvain_2,9
479,3,0.546242774566474,1.0,0.7065420560747664,6,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1210/2021_2_5_22_13_11\Louvain_2,6
480,2,0.8454810495626822,0.847953216374269,0.8467153284671534,2,0.7976878612716763,0.8070175438596491,0.8023255813953488,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1018/2021_2_5_22_13_19\Louvain_2,2
481,4,0.365702479338843,0.9365079365079365,0.5260029717682021,7,0.5625,1.0,0.72,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2989/2021_2_5_22_13_32\Louvain_2,9
482,3,0.23804616652926627,0.7504873294346979,0.3614457831325301,4,0.2848610750454427,0.7128005198180637,0.40705009276437853,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2688/2021_2_5_22_16_24\Louvain_2,9
483,4,0.4897959183673469,0.9230769230769231,0.64,4,0.5531914893617021,1.0,0.7123287671232876,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2822/2021_2_5_22_16_27\Louvain_2,6
484,4,0.12331838565022421,0.3021978021978022,0.17515923566878983,3,0.13529411764705881,0.3791208791208791,0.19942196531791906,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1607/2021_2_5_22_17_38\Louvain_2,8
485,2,0.6052631578947368,0.6052631578947368,0.6052631578947368,2,0.8611111111111112,0.8157894736842105,0.8378378378378377,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1616/2021_2_5_22_17_39\Louvain_2,2
486,3,0.6521739130434783,1.0,0.7894736842105263,4,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2083/2021_2_5_22_18_2\Louvain_2,4
487,3,0.3469387755102041,0.5862068965517241,0.43589743589743585,2,0.2631578947368421,0.6896551724137931,0.380952380952381,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2402/2021_2_5_22_18_4\Louvain_2,5
488,4,0.3623348017621145,0.7029914529914529,0.47819767441860467,5,0.4587280108254398,0.7243589743589743,0.5617232808616405,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4811/2021_2_5_22_18_53\Louvain_2,6
489,3,0.35333613092740246,0.884453781512605,0.5049475262368817,17,0.1917960088691796,0.18172268907563024,0.1866235167206041,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3899/2021_2_5_22_22_18\Louvain_2,7
490,3,0.24495412844036699,0.775599128540305,0.3723200278891407,6,0.4373601789709172,0.8518518518518519,0.5779748706577975,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2182/2021_2_5_22_26_15\Louvain_2,9
491,3,0.3008130081300813,0.9024390243902439,0.45121951219512196,3,0.23943661971830985,0.8292682926829268,0.3715846994535519,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2071/2021_2_5_22_26_20\Louvain_2,8
492,3,0.5415162454873647,0.8333333333333334,0.6564551422319475,3,0.4983164983164983,0.8222222222222222,0.6205450733752621,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2015/2021_2_5_22_26_37\Louvain_2,4
493,3,0.13818181818181818,0.37748344370860926,0.20230700976042593,9,0.10440835266821345,0.1490066225165563,0.1227830832196453,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2051/2021_2_5_22_26_56\Louvain_2,9
494,4,0.311614730878187,0.6984126984126984,0.4309500489715965,2,0.2023217247097844,0.7746031746031746,0.32084155161078237,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1454/2021_2_5_22_27_27\Louvain_2,7
495,5,0.3617021276595745,0.5059523809523809,0.42183622828784123,2,0.14788732394366197,0.5,0.22826086956521738,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3693/2021_2_5_22_27_50\Louvain_2,6
496,3,0.40540540540540543,0.6521739130434783,0.5,2,0.2751322751322751,0.7536231884057971,0.40310077519379844,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3031/2021_2_5_22_27_57\Louvain_2,5
497,3,0.35265438786565545,0.8857142857142857,0.5044556373498644,15,0.11649365628604383,0.13741496598639455,0.12609238451935081,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1871/2021_2_5_22_29_6\Louvain_2,7
498,3,0.5,0.8923076923076924,0.6408839779005525,3,0.5111731843575419,0.9384615384615385,0.6618444846292948,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3268/2021_2_5_22_29_47\Louvain_2,5
499,2,1.0,1.0,1.0,2,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1671/2021_2_5_22_29_51\Louvain_2,2
500,3,0.5669291338582677,0.8571428571428571,0.6824644549763033,6,0.32857142857142857,0.27380952380952384,0.2987012987012987,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1767/2021_2_5_22_29_57\Louvain_2,4
501,2,0.4025,1.0,0.5739750445632799,2,0.4025,1.0,0.5739750445632799,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1858/2021_2_5_22_30_7\Louvain_2,6
502,4,0.40869565217391307,0.7833333333333333,0.5371428571428573,5,0.11904761904761904,0.25,0.16129032258064516,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4463/2021_2_5_22_30_24\Louvain_2,6
503,3,0.9337349397590361,0.9393939393939394,0.9365558912386707,3,0.7965116279069767,0.8303030303030303,0.8130563798219586,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4011/2021_2_5_22_30_29\Louvain_2,3
504,3,0.7874015748031497,0.8928571428571429,0.8368200836820084,3,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1120/2021_2_5_22_30_31\Louvain_2,3
505,3,0.6252771618625277,0.9038461538461539,0.7391874180865006,3,0.6176470588235294,0.875,0.7241379310344829,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2977/2021_2_5_22_31_18\Louvain_2,4
506,3,1.0,1.0,1.0,3,0.45161290322580644,0.358974358974359,0.4,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3202/2021_2_5_22_31_21\Louvain_2,3
507,2,1.0,1.0,1.0,2,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3999/2021_2_5_22_31_26\Louvain_2,2
508,3,0.6666666666666666,1.0,0.8,4,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2262/2021_2_5_22_31_26\Louvain_2,4
509,3,0.4880239520958084,0.5174603174603175,0.50231124807396,2,0.32879377431906615,0.5365079365079365,0.40772014475271406,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2930/2021_2_5_22_31_57\Louvain_2,3
510,2,0.868421052631579,1.0,0.9295774647887324,2,0.868421052631579,1.0,0.9295774647887324,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4826/2021_2_5_22_32_2\Louvain_2,3
511,3,0.40718562874251496,0.7555555555555555,0.5291828793774318,2,0.1814814814814815,0.5444444444444444,0.27222222222222225,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2022/2021_2_5_22_32_26\Louvain_2,5
512,6,0.6719242902208202,0.8068181818181818,0.7332185886402753,5,0.5563549160671463,0.8787878787878788,0.6813509544787077,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2995/2021_2_5_22_33_0\Louvain_2,7
513,1,0.5333333333333333,1.0,0.6956521739130436,2,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4457/2021_2_5_22_33_1\Louvain_2,2
514,4,0.3698630136986301,0.8035714285714286,0.5065666041275797,2,0.11981053218166621,0.5119047619047619,0.1941747572815534,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4530/2021_2_5_22_38_35\Louvain_2,8
515,4,0.9688073394495413,0.9705882352941176,0.9696969696969696,3,0.629582806573957,0.9154411764705882,0.746067415730337,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4934/2021_2_5_22_39_16\Louvain_2,4
516,2,0.1501736111111111,0.564437194127243,0.2372300308536167,11,0.13522355507088332,0.20228384991843393,0.16209150326797386,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1817/2021_2_5_22_39_53\Louvain_2,9
