,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score
865,3,0.7384615384615385,0.7485380116959064,0.7434656340755081,2,0.5581113801452785,0.898635477582846,0.6885735623599702
866,2,0.15789473684210525,0.6136363636363636,0.25116279069767444,3,0.2248062015503876,0.6590909090909091,0.3352601156069364
867,4,0.13588850174216027,0.3125,0.1894123360854784,2,0.11046511627906977,0.4871794871794872,0.18009478672985782
868,3,1.0,1.0,1.0,2,0.37383177570093457,0.5925925925925926,0.4584527220630372
869,3,0.5025380710659898,0.9428571428571428,0.6556291390728477,2,0.21035598705501615,0.6190476190476191,0.3140096618357488
870,3,0.2026897214217099,0.4668141592920354,0.2826523777628935,3,0.21658986175115208,0.5199115044247787,0.30579050097592714
871,3,0.3850687622789784,0.8200836820083682,0.5240641711229946,2,0.23675675675675675,0.9163179916317992,0.3762886597938144
872,2,0.34786399302528337,0.8507462686567164,0.4938118811881188,2,0.20153714773697692,0.5031982942430704,0.2878048780487805
873,3,1.0,1.0,1.0,3,1.0,1.0,1.0
874,4,0.3383084577114428,0.9251700680272108,0.4954462659380692,3,0.375,1.0,0.5454545454545454
875,2,1.0,1.0,1.0,1,0.4545454545454545,1.0,0.625
876,3,0.9118457300275482,0.9194444444444444,0.9156293222683264,2,0.3204225352112676,0.5055555555555555,0.3922413793103449
877,4,0.31270718232044203,0.6936274509803921,0.4310738766184311,2,0.11853153680921695,0.4959150326797386,0.1913317572892041
878,3,0.3411214953271028,0.7373737373737373,0.4664536741214058,2,0.25872093023255816,0.898989898989899,0.4018058690744921
879,3,0.3241869918699187,0.7818627450980392,0.4583333333333333,2,0.15789473684210525,0.5588235294117647,0.2462203023758099
880,2,0.4512,1.0,0.6218302094818081,3,0.6467889908256881,1.0,0.7855153203342619
881,3,0.2789115646258503,0.9413265306122448,0.4303206997084547,2,0.19061413673232908,0.8392857142857143,0.3106704438149197
882,3,0.33127572016460904,0.8609625668449198,0.4784546805349184,2,0.14423076923076922,0.5614973262032086,0.2295081967213115
883,3,0.2811059907834101,0.4236111111111111,0.3379501385041551,1,0.22857142857142854,1.0,0.3720930232558139
884,3,0.4971428571428572,0.9321428571428572,0.6484472049689441,2,0.28756476683937826,0.7928571428571428,0.4220532319391635
885,3,0.18027210884353745,0.42063492063492064,0.2523809523809524,2,0.1528013582342954,0.7142857142857143,0.2517482517482517
886,3,0.6570397111913358,0.6666666666666666,0.6618181818181819,2,0.3201754385964912,0.5347985347985348,0.4005486968449931
887,3,0.3445378151260504,0.615,0.4416517055655296,2,0.19718309859154928,0.56,0.29166666666666663
